Company,Date,Total Assets,Total Liabilities,Common Equity - Total,Total Current Assets,Total Current Liabilities,Inventories - Total,Net Cash Flow from Operating Activities,Net Income after Tax,Income Available to Common Shares,Gross Profit Margin - %,Revenue from Business Activities - Total
BDB.HN,12/31/2023,19661962712,5917817064,13744145648,15307826225,5917817064,12141259188,-1282382099,149603219,149603219,12.58195,12906914144
BDB.HN,3/31/2024,19355924449,6549401285,12806523164,15104345555,6549401285,12074545512,1503075826,29574073,29574073,20.55353,2822974858
BDB.HN,6/30/2024,40604829189,27561621083,13043208106,36441556719,27561621083,25090631954,2592018167,236684942,236684942,6.87183,26606502930
BDB.HN,9/30/2024,37992041784,24634473375,13357568409,33892693662,24634473375,23143162667,2841796933,314360303,314360303,7.47238,27554547125
BDB.HN,12/31/2024,25695692315,12127954170,13567738145,21639120427,12127954170,18036302116,-6059861476,100839112,100839112,13.59902,12075142530
BDB.HN,3/31/2025,27031754698,14544738730,12487015968,23026134323,14544738730,19257371939,-4481116777,-135157663,-135157663,16.80924,3436584730
LBE.HN,12/31/2021,30095123762,9799351809,20295771953,24884336666,9675376809,17515404738,-3685440784,758879477,657118353,13.55159,24142984442
LBE.HN,3/31/2022,28952400246,8257997397,20694402849,23842849266,8181009897,15017109478,2373865619,398630896,398630896,18.68458,9830171106
LBE.HN,6/30/2022,45096062037,24039440892,21056621145,40096421729,24009440892,28001397538,-5786157647,357059420,304161098,10.71104,24459130436
LBE.HN,9/30/2022,32840431920,10699247132,22141184788,27879528173,10669247132,16260783611,13805005249,1084563643,1084563643,10.7931,51973873085
LBE.HN,12/31/2022,25024159185,2578384050,22445775135,20122003797,2548384050,12751884361,-5694279622,304590347,154451246,13.83837,12364407627
LBE.HN,3/31/2023,36686146687,14389353311,22296793376,31701499294,14359353311,14118609637,-554932166,-148961759,-148961759,14.5308,4652095153
LBE.HN,6/30/2023,40352058858,17637873792,22714185066,35379952658,17607873792,21561011142,981021041,607510791,575412359,8.03608,39040152783
